APRS,Packet,APRS Header,UINT8,16,0,,,,,,,,,,,,,,,is dropped by yamcs
APRS,Packet,Data type identifier,CHAR,3,10,,String,N/A,TRUE,-,-,-,-,-,-,-,-,-,-,"""{{z"" User-Defined APRS packet format"
APRS,Packet,Satellite ID,UINT8,1,13,,Enum String,N/A,TRUE,0,-,-,-,-,-,-,-,-,255,"0 = OreSat0, 1 = Oresat0.5, 2 = OreSat1"
APRS,Packet,Revision,UINT8,1,14,,Integer,Count,TRUE,0,-,-,-,-,-,-,1,-,255,APRS version #; curently 1
C3,M4,OreSat0 State,CHAR,1,15,,Enum String,N/A,TRUE,A,-,-,-,B,-,-,E,-,F,"Character representing C3 critical state. A=predploy, B=Deploy, C=standby, D=beacon, E=EDL"
C3,M4,Uptime,UINT32,4,16,,Integer,Seconds,TRUE,-,-,-,-,-,-,-,-,-,-,Stick at 0xFFFFFF if we reach 194 days of uptime :)
C3,RTC,Time,UINT32,4,1A,,Datetime string,N/A,TRUE,-,-,-,-,-,-,-,-,-,-,SCET coarse timestamp with UNIX epoch
C3,WDT,# power cycles,UINT16,2,1E,,Integer,Count,TRUE,0,-,-,-,-,2,-,-,10,65535,Stored in FRAM; Stick at 0xFFFF until reset from ground
C3,eMMC,% full,UINT8,1,20,,Integer,%,TRUE,0,-,-,-,-,50,-,-,80,100,0 - 100 % 
C3,L RX,Bytes received,UINT32,4,21,,Integer,Count,TRUE,0,-,-,-,-,-,-,-,-,2^32-1,# of bytes received on the L band radio
C3,L RX ,Valid packets,UINT32,4,25,,Integer,Count,TRUE,0,-,-,-,-,-,-,-,-,2^32-1,# of packets received on the L band radio
C3,L RX ,RSSI,UINT8,1,29,,Integer,dB,TRUE,0,-,-,-,-,-,-,-,-,255,"Of last packet received; -126 to -45 dBm range; 1 dB step; after LNA, filters, and digital channel filter."
C3,UHF RX ,Bytes received,UINT32,4,2A,,Integer,Count,TRUE,0,-,-,-,-,-,-,-,-,2^32-1,# of bytes received on the UHF band radio
C3,UHF RX ,Valid packets,UINT32,4,2E,,Integer,Count,TRUE,0,-,-,-,-,-,-,-,-,2^32-1,# of packets received on the UHF band radio
C3,UHF RX ,RSSI,UINT8,1,32,,Integer,dB,TRUE,0,-,-,-,-,-,-,-,-,255,"Of last packet received; -126 to -45 dBm range; 1 dB step; after LNA, filters, and digital channel filter."
C3,FW Bank,Current and next bank,UINT8,1,33,,Bitfield (mutiple enum strings),N/A,TRUE,0,-,-,-,-,-,-,-,-,3,"Bit 0 = Current Bank, Bit 1 = Next Bank"
C3,L RX,Sequence number,UINT32,4,34,,Integer,N/A,TRUE,0,-,-,-,-,-,-,-,-,2^32-1,"This is the sequence number (sometimes called ""salt"") in the authentication scheme"
C3,L RX,Rejected packets,UINT32,4,38,,Integer,N/A,TRUE,0,-,-,-,-,-,-,-,-,2^32-1,"This is the number of rejected packets, due to noise, bit flips, or bad sequence number or MAC."
Battery,Pack 1,VBatt,UINT16,2,3C,,Integer,mV,TRUE,0,-,6000,6500,7000,8000,8400,8500,-,65535,Total battery pack voltage
